,total_words,unigram_H,trigram_H,KL_P3,avg_huff,landauer_25C,compressed_len,comp_unigram_H,comp_trigram_H,comp_KL_P3,chi2_pre_vs_post,chi_df,chi_p
English,8506.0,8.903126917739563,12.833225330464751,8.763118792936163,8.930637197272514,2.5403065140755597e-20,75964.0,0.9988866331775401,2.9966542097837365,5.8102844466641505e-05,0.0,0.0,1.0
Spanish,6584.0,8.950155737471015,12.622209659265488,8.899262146956593,8.986482381530983,2.5537251273579394e-20,59167.0,0.99885107221191,2.996505644826345,0.00018333631366112456,0.0,0.0,1.0
Russian,5000.0,9.426585752656061,12.022081144368038,9.262721722454977,9.4662,2.6896636894224882e-20,47331.0,0.9988039849238831,2.995501404424989,0.0014343024174384013,0.0,0.0,1.0
Chinese,2583.0,10.724270448721136,11.304458410981871,10.709021821029955,10.794425087108014,3.059928756638584e-20,27882.0,0.9986988400102148,2.9957679991662176,0.00018604809423148887,0.0,0.0,1.0
Hindi,594.0,8.072774203068837,9.177772812415835,8.050603802631716,8.114478114478114,2.3033840901285902e-20,4820.0,0.9985239141573273,2.994934923267252,0.000537589448885125,0.0,0.0,1.0
Turkish,7309.0,10.416964143067254,12.811589318276434,10.397284253940429,10.440415925571214,2.97224583160765e-20,76309.0,0.9994063313442967,2.9982056965087787,2.0833722551854247e-05,0.0,0.0,1.0
